"GEOCODIGO1","extencao_rede","GEOCODIGO","MUNICIPIO","UF"
220005,6.8,2200053,"Acauã","PI"
220025,3.6,2200251,"Alagoinha do Piauí","PI"
220027,35.5,2200277,"Alegrete do Piauí","PI"
220045,12.8,2200459,"Alvorada do Gurguéia","PI"
220070,5.8,2200707,"Anísio de Abreu","PI"
220090,13,2200905,"Aroazes","PI"
220095,-1,2200954,"Aroeiras do Itaim","PI"
220105,14.9,2201051,"Assunção do Piauí","PI"
220110,6.1,2201101,"Avelino Lopes","PI"
220155,-1,2201556,"Bela Vista do Piauí","PI"
220157,15.7,2201572,"Belém do Piauí","PI"
220170,13.7,2201705,"Bertolínia","PI"
220173,-1,2201739,"Betânia do Piauí","PI"
220180,10.2,2201804,"Bocaina","PI"
220190,3.3,2201903,"Bom Jesus","PI"
220192,9.5,2201929,"Bonfim do Piauí","PI"
220198,6.5,2201988,"Brejo do Piauí","PI"
220202,35.9,2202026,"Buriti dos Montes","PI"
220207,-1,2202075,"Cajazeiras do Piauí","PI"
220209,-1,2202091,"Caldeirão Grande do Piauí","PI"
220210,7.5,2202109,"Campinas do Piauí","PI"
220211,-1,2202117,"Campo Alegre do Fidalgo","PI"
220213,18.7,2202133,"Campo Grande do Piauí","PI"
220225,9.2,2202251,"Canavieira","PI"
220230,6.7,2202307,"Canto do Buriti","PI"
220245,19,2202455,"Capitão Gervásio Oliveira","PI"
220250,10.7,2202505,"Caracol","PI"
220255,9.4,2202554,"Caridade do Piauí","PI"
220260,5.9,2202604,"Castelo do Piauí","PI"
220275,10.7,2202752,"Colônia do Gurguéia","PI"
220277,10.6,2202778,"Colônia do Piauí","PI"
220280,13.2,2202802,"Conceição do Canindé","PI"
220285,6.1,2202851,"Coronel José Dias","PI"
220310,5.8,2203107,"Cristino Castro","PI"
220320,9.2,2203206,"Curimatá","PI"
220323,-1,2203230,"Currais","PI"
220327,9.7,2203271,"Curral Novo do Piauí","PI"
220335,5.4,2203354,"Dirceu Arcoverde","PI"
220340,5.1,2203404,"Dom Expedito Lopes","PI"
220342,10.7,2203420,"Domingos Mourão","PI"
220345,-1,2203453,"Dom Inocêncio","PI"
220360,12.7,2203602,"Eliseu Martins","PI"
220375,-1,2203750,"Fartura do Piauí","PI"
220380,14.9,2203800,"Flores do Piauí","PI"
220385,-1,2203859,"Floresta do Piauí","PI"
220415,-1,2204154,"Francisco Macedo","PI"
220420,5.9,2204204,"Francisco Santos","PI"
220430,5.4,2204303,"Fronteiras","PI"
220435,-1,2204352,"Geminiano","PI"
220455,11.7,2204550,"Guaribas","PI"
220470,10.7,2204709,"Inhuma","PI"
220480,15.6,2204808,"Ipiranga do Piauí","PI"
220490,9.6,2204907,"Isaías Coelho","PI"
220500,6.7,2205003,"Itainópolis","PI"
220510,7.1,2205102,"Itaueira","PI"
220515,5.3,2205151,"Jacobina do Piauí","PI"
220520,11.1,2205201,"Jaicós","PI"
220535,10.9,2205359,"João Costa","PI"
220551,7.3,2205516,"Juazeiro do Piauí","PI"
220552,9.1,2205524,"Júlio Borges","PI"
220553,7.7,2205532,"Jurema","PI"
220556,-1,2205565,"Lagoa do Barro do Piauí","PI"
220557,-1,2205573,"Lagoa de São Francisco","PI"
220559,-1,2205599,"Lagoa do Sítio","PI"
220590,12.2,2205904,"Manoel Emídio","PI"
220595,-1,2205953,"Marcolândia","PI"
220605,-1,2206050,"Massapê do Piauí","PI"
220635,34.7,2206357,"Milton Brandão","PI"
220650,5.4,2206506,"Monsenhor Hipólito","PI"
220665,-1,2206654,"Morro Cabeça no Tempo","PI"
220670,7.4,2206704,"Nazaré do Piauí","PI"
220690,6.4,2206902,"Novo Oriente do Piauí","PI"
220700,7.7,2207009,"Oeiras","PI"
220720,5.5,2207207,"Padre Marcos","PI"
220730,9.9,2207306,"Paes Landim","PI"
220735,10,2207355,"Pajeú do Piauí","PI"
220740,7.8,2207405,"Palmeira do Piauí","PI"
220755,8.1,2207553,"Paquetá","PI"
220777,9.2,2207777,"Patos do Piauí","PI"
220780,6,2207801,"Paulistana","PI"
220785,6.5,2207850,"Pavussu","PI"
220790,5,2207900,"Pedro II","PI"
220793,-1,2207934,"Pedro Laurentino","PI"
220795,11.2,2207959,"Nova Santa Rita","PI"
220800,4.3,2208007,"Picos","PI"
220810,16.6,2208106,"Pimenteiras","PI"
220820,7.4,2208205,"Pio IX","PI"
220830,10.9,2208304,"Piracuruca","PI"
