"GEOCODIGO1","Quantidade_Paralizacao","GEOCODIGO","logData","MUNICIPIO","UF"
220005,0,2200053,1,"Acauã","PI"
220025,0,2200251,1,"Alagoinha do Piauí","PI"
220027,12,2200277,3.58496250072116,"Alegrete do Piauí","PI"
220045,4,2200459,2,"Alvorada do Gurguéia","PI"
220070,0,2200707,1,"Anísio de Abreu","PI"
220090,0,2200905,1,"Aroazes","PI"
220095,NA,2200954,-1,"Aroeiras do Itaim","PI"
220105,19,2201051,4.24792751344359,"Assunção do Piauí","PI"
220110,0,2201101,1,"Avelino Lopes","PI"
220155,NA,2201556,-1,"Bela Vista do Piauí","PI"
220157,0,2201572,1,"Belém do Piauí","PI"
220170,0,2201705,1,"Bertolínia","PI"
220173,NA,2201739,-1,"Betânia do Piauí","PI"
220180,0,2201804,1,"Bocaina","PI"
220190,0,2201903,1,"Bom Jesus","PI"
220192,0,2201929,1,"Bonfim do Piauí","PI"
220198,0,2201988,1,"Brejo do Piauí","PI"
220202,16,2202026,4,"Buriti dos Montes","PI"
220207,NA,2202075,-1,"Cajazeiras do Piauí","PI"
220209,NA,2202091,-1,"Caldeirão Grande do Piauí","PI"
220210,0,2202109,1,"Campinas do Piauí","PI"
220211,NA,2202117,-1,"Campo Alegre do Fidalgo","PI"
220213,0,2202133,1,"Campo Grande do Piauí","PI"
220225,0,2202251,1,"Canavieira","PI"
220230,0,2202307,1,"Canto do Buriti","PI"
220245,0,2202455,1,"Capitão Gervásio Oliveira","PI"
220250,0,2202505,1,"Caracol","PI"
220255,0,2202554,1,"Caridade do Piauí","PI"
220260,0,2202604,1,"Castelo do Piauí","PI"
220275,0,2202752,1,"Colônia do Gurguéia","PI"
220277,0,2202778,1,"Colônia do Piauí","PI"
220280,0,2202802,1,"Conceição do Canindé","PI"
220285,0,2202851,1,"Coronel José Dias","PI"
220310,0,2203107,1,"Cristino Castro","PI"
220320,0,2203206,1,"Curimatá","PI"
220323,NA,2203230,-1,"Currais","PI"
220327,0,2203271,1,"Curral Novo do Piauí","PI"
220335,0,2203354,1,"Dirceu Arcoverde","PI"
220340,0,2203404,1,"Dom Expedito Lopes","PI"
220342,0,2203420,1,"Domingos Mourão","PI"
220345,NA,2203453,-1,"Dom Inocêncio","PI"
220360,0,2203602,1,"Eliseu Martins","PI"
220375,NA,2203750,-1,"Fartura do Piauí","PI"
220380,0,2203800,1,"Flores do Piauí","PI"
220385,NA,2203859,-1,"Floresta do Piauí","PI"
220415,NA,2204154,-1,"Francisco Macedo","PI"
220420,0,2204204,1,"Francisco Santos","PI"
220430,0,2204303,1,"Fronteiras","PI"
220435,NA,2204352,-1,"Geminiano","PI"
220455,0,2204550,1,"Guaribas","PI"
220470,0,2204709,1,"Inhuma","PI"
220480,0,2204808,1,"Ipiranga do Piauí","PI"
220490,0,2204907,1,"Isaías Coelho","PI"
220500,0,2205003,1,"Itainópolis","PI"
220510,0,2205102,1,"Itaueira","PI"
220515,0,2205151,1,"Jacobina do Piauí","PI"
220520,0,2205201,1,"Jaicós","PI"
220535,3,2205359,1.58496250072116,"João Costa","PI"
220551,0,2205516,1,"Juazeiro do Piauí","PI"
220552,0,2205524,1,"Júlio Borges","PI"
220553,0,2205532,1,"Jurema","PI"
220556,NA,2205565,-1,"Lagoa do Barro do Piauí","PI"
220557,NA,2205573,-1,"Lagoa de São Francisco","PI"
220559,NA,2205599,-1,"Lagoa do Sítio","PI"
220590,0,2205904,1,"Manoel Emídio","PI"
220595,NA,2205953,-1,"Marcolândia","PI"
220605,NA,2206050,-1,"Massapê do Piauí","PI"
220635,25,2206357,4.64385618977472,"Milton Brandão","PI"
220650,0,2206506,1,"Monsenhor Hipólito","PI"
220665,NA,2206654,-1,"Morro Cabeça no Tempo","PI"
220670,0,2206704,1,"Nazaré do Piauí","PI"
220690,0,2206902,1,"Novo Oriente do Piauí","PI"
220700,0,2207009,1,"Oeiras","PI"
220720,0,2207207,1,"Padre Marcos","PI"
220730,0,2207306,1,"Paes Landim","PI"
220735,4,2207355,2,"Pajeú do Piauí","PI"
220740,0,2207405,1,"Palmeira do Piauí","PI"
220755,0,2207553,1,"Paquetá","PI"
220777,0,2207777,1,"Patos do Piauí","PI"
220780,0,2207801,1,"Paulistana","PI"
220785,0,2207850,1,"Pavussu","PI"
220790,0,2207900,1,"Pedro II","PI"
220793,NA,2207934,-1,"Pedro Laurentino","PI"
220795,0,2207959,1,"Nova Santa Rita","PI"
220800,0,2208007,1,"Picos","PI"
220810,0,2208106,1,"Pimenteiras","PI"
220820,0,2208205,1,"Pio IX","PI"
220830,0,2208304,1,"Piracuruca","PI"
220865,NA,2208650,-1,"Queimada Nova","PI"
220870,NA,2208700,-1,"Redenção do Gurguéia","PI"
220887,NA,2208874,-1,"Ribeira do Piauí","PI"
220900,0,2209005,1,"Rio Grande do Piauí","PI"
220910,0,2209104,1,"Santa Cruz do Piauí","PI"
220915,0,2209153,1,"Santa Cruz dos Milagres","PI"
220930,0,2209302,1,"Santa Luz","PI"
220935,0,2209351,1,"Santana do Piauí","PI"
220937,0,2209377,1,"Santa Rosa do Piauí","PI"
220940,0,2209401,1,"Santo Antônio de Lisboa","PI"
220950,0,2209500,1,"Santo Inácio do Piauí","PI"
220955,0,2209559,1,"São Braz do Piauí","PI"
220965,0,2209658,1,"São Francisco de Assis do Piauí","PI"
220970,0,2209708,1,"São Francisco do Piauí","PI"
220985,0,2209856,1,"São João da Canabrava","PI"
220987,NA,2209872,-1,"São João da Fronteira","PI"
220990,0,2209906,1,"São João da Serra","PI"
220995,0,2209955,1,"São João da Varjota","PI"
221000,0,2210003,1,"São João do Piauí","PI"
221005,0,2210052,1,"São José do Divino","PI"
221010,0,2210102,1,"São José do Peixe","PI"
221020,0,2210201,1,"São José do Piauí","PI"
221030,0,2210300,1,"São Julião","PI"
221035,0,2210359,1,"São Lourenço do Piauí","PI"
221037,0,2210375,1,"São Luis do Piauí","PI"
221039,NA,2210391,-1,"São Miguel do Fidalgo","PI"
221040,0,2210409,1,"São Miguel do Tapuio","PI"
221060,0,2210607,1,"São Raimundo Nonato","PI"
221063,0,2210631,1,"Sebastião Leal","PI"
221070,0,2210706,1,"Simões","PI"
221080,0,2210805,1,"Simplício Mendes","PI"
221090,0,2210904,1,"Socorro do Piauí","PI"
221093,NA,2210938,-1,"Sussuapara","PI"
221095,NA,2210953,-1,"Tamboril do Piauí","PI"
221097,NA,2210979,-1,"Tanque do Piauí","PI"
221130,0,2211308,1,"Valença do Piauí","PI"
221135,0,2211357,1,"Várzea Branca","PI"
221150,NA,2211506,-1,"Vera Mendes","PI"
221160,NA,2211605,-1,"Vila Nova do Piauí","PI"
221170,0,2211704,1,"Wall Ferraz","PI"
230010,1,2300101,1,"Abaiara","CE"
230015,22,2300150,4.4594316186373,"Acarape","CE"
230030,12,2300309,3.58496250072116,"Acopiara","CE"
230040,NA,2300408,-1,"Aiuaba","CE"
230050,4,2300507,2,"Alcântaras","CE"
230060,7,2300606,2.8073549220576,"Altaneira","CE"
230070,1,2300705,1,"Alto Santo","CE"
230080,1,2300804,1,"Antonina do Norte","CE"
230090,1,2300903,1,"Apuiarés","CE"
230110,40,2301109,5.32192809488736,"Aracati","CE"
230120,12,2301208,3.58496250072116,"Aracoiaba","CE"
230125,3,2301257,1.58496250072116,"Ararendá","CE"
230130,8,2301307,3,"Araripe","CE"
230140,0,2301406,1,"Aratuba","CE"
230150,3,2301505,1.58496250072116,"Arneiroz","CE"
230160,1,2301604,1,"Assaré","CE"
230170,3,2301703,1.58496250072116,"Aurora","CE"
230180,1,2301802,1,"Baixio","CE"
230185,15,2301851,3.90689059560852,"Banabuiú","CE"
230190,24,2301901,4.58496250072116,"Barbalha","CE"
230195,42,2301950,5.39231742277876,"Barreira","CE"
230200,8,2302008,3,"Barro","CE"
230210,13,2302107,3.70043971814109,"Baturité","CE"
230240,9,2302404,3.16992500144231,"Boa Viagem","CE"
230250,NA,2302503,-1,"Brejo Santo","CE"
230270,33,2302701,5.04439411935845,"Campos Sales","CE"
230280,0,2302800,1,"Canindé","CE"
230290,3,2302909,1.58496250072116,"Capistrano","CE"
230300,22,2303006,4.4594316186373,"Caridade","CE"
230310,5,2303105,2.32192809488736,"Cariré","CE"
230320,30,2303204,4.90689059560852,"Caririaçu","CE"
230330,1,2303303,1,"Cariús","CE"
230340,31,2303402,4.95419631038687,"Carnaubal","CE"
230360,2,2303600,1,"Catarina","CE"
230365,4,2303659,2,"Catunda","CE"
230370,149,2303709,7.21916852046216,"Caucaia","CE"
230380,2,2303808,1,"Cedro","CE"
230393,6,2303931,2.58496250072116,"Choró","CE"
230395,6,2303956,2.58496250072116,"Chorozinho","CE"
230400,19,2304004,4.24792751344359,"Coreaú","CE"
230410,1,2304103,1,"Crateús","CE"
230420,36,2304202,5.16992500144231,"Crato","CE"
230423,6,2304236,2.58496250072116,"Croatá","CE"
230426,52,2304269,5.70043971814109,"Deputado Irapuan Pinheiro","CE"
230427,1,2304277,1,"Ererê","CE"
230430,4,2304301,2,"Farias Brito","CE"
230435,7,2304350,2.8073549220576,"Forquilha","CE"
230450,12,2304509,3.58496250072116,"Frecheirinha","CE"
230460,1,2304608,1,"General Sampaio","CE"
230465,8,2304657,3,"Graça","CE"
230480,0,2304806,1,"Granjeiro","CE"
