"GEOCODIGO1","Quantidade_Paralizacao","GEOCODIGO"
220005,0,2200053
220025,0,2200251
220027,12,2200277
220045,4,2200459
220070,0,2200707
220090,0,2200905
220095,NA,2200954
220105,19,2201051
220110,0,2201101
220155,NA,2201556
220157,0,2201572
220170,0,2201705
220173,NA,2201739
220180,0,2201804
220190,0,2201903
220192,0,2201929
220198,0,2201988
220202,16,2202026
220207,NA,2202075
220209,NA,2202091
220210,0,2202109
220211,NA,2202117
220213,0,2202133
220225,0,2202251
220230,0,2202307
220245,0,2202455
220250,0,2202505
220255,0,2202554
220260,0,2202604
220275,0,2202752
220277,0,2202778
220280,0,2202802
220285,0,2202851
220310,0,2203107
220320,0,2203206
220323,NA,2203230
220327,0,2203271
220335,0,2203354
220340,0,2203404
220342,0,2203420
220345,NA,2203453
220360,0,2203602
220375,NA,2203750
220380,0,2203800
220385,NA,2203859
220415,NA,2204154
220420,0,2204204
220430,0,2204303
220435,NA,2204352
220455,0,2204550
220470,0,2204709
220480,0,2204808
220490,0,2204907
220500,0,2205003
220510,0,2205102
220515,0,2205151
220520,0,2205201
220535,3,2205359
220551,0,2205516
220552,0,2205524
220553,0,2205532
220556,NA,2205565
220557,NA,2205573
220559,NA,2205599
220590,0,2205904
220595,NA,2205953
220605,NA,2206050
220635,25,2206357
220650,0,2206506
220665,NA,2206654
220670,0,2206704
220690,0,2206902
220700,0,2207009
220720,0,2207207
220730,0,2207306
220735,4,2207355
220740,0,2207405
220755,0,2207553
220777,0,2207777
220780,0,2207801
220785,0,2207850
220790,0,2207900
220793,NA,2207934
220795,0,2207959
220800,0,2208007
220810,0,2208106
220820,0,2208205
220830,0,2208304
220865,NA,2208650
220870,NA,2208700
220887,NA,2208874
220900,0,2209005
220910,0,2209104
220915,0,2209153
220930,0,2209302
220935,0,2209351
220937,0,2209377
220940,0,2209401
220950,0,2209500
220955,0,2209559
220965,0,2209658
220970,0,2209708
220985,0,2209856
220987,NA,2209872
220990,0,2209906
220995,0,2209955
221000,0,2210003
221005,0,2210052
221010,0,2210102
221020,0,2210201
221030,0,2210300
221035,0,2210359
221037,0,2210375
221039,NA,2210391
221040,0,2210409
221060,0,2210607
221063,0,2210631
221070,0,2210706
221080,0,2210805
221090,0,2210904
221093,NA,2210938
221095,NA,2210953
221097,NA,2210979
221130,0,2211308
221135,0,2211357
221150,NA,2211506
221160,NA,2211605
221170,0,2211704
230010,1,2300101
230015,22,2300150
230030,12,2300309
230040,NA,2300408
230050,4,2300507
230060,7,2300606
230070,1,2300705
230080,1,2300804
230090,1,2300903
230110,40,2301109
230120,12,2301208
230125,3,2301257
230130,8,2301307
230140,0,2301406
230150,3,2301505
230160,1,2301604
230170,3,2301703
230180,1,2301802
230185,15,2301851
230190,24,2301901
230195,42,2301950
230200,8,2302008
230210,13,2302107
230240,9,2302404
230250,NA,2302503
230270,33,2302701
230280,0,2302800
230290,3,2302909
230300,22,2303006
230310,5,2303105
230320,30,2303204
230330,1,2303303
230340,31,2303402
230360,2,2303600
230365,4,2303659
230370,149,2303709
230380,2,2303808
230393,6,2303931
230395,6,2303956
230400,19,2304004
230410,1,2304103
230420,36,2304202
230423,6,2304236
230426,52,2304269
230427,1,2304277
230430,4,2304301
230435,7,2304350
230450,12,2304509
230460,1,2304608
230465,8,2304657
230480,0,2304806
230490,6,2304905
230500,15,2305001
230510,0,2305100
230520,34,2305209
230523,14,2305233
230526,NA,2305266
230530,9,2305308
230533,12,2305332
230535,6,2305357
230540,14,2305407
230550,6,2305506
230560,1,2305605
230565,NA,2305654
230570,0,2305704
230580,NA,2305803
230590,NA,2305902
230600,9,2306009
230610,32,2306108
230620,23,2306207
230630,11,2306306
230640,17,2306405
230650,8,2306504
230660,0,2306603
230670,16,2306702
230680,7,2306801
230690,90,2306900
230700,6,2307007
230710,NA,2307106
230720,3,2307205
230730,307,2307304
230740,10,2307403
230750,47,2307502
230760,7,2307601
230763,NA,2307635
230770,88,2307700
230800,30,2308005
230810,6,2308104
230820,7,2308203
230830,11,2308302
230835,NA,2308351
230837,8,2308377
230840,30,2308401
230850,10,2308500
230860,5,2308609
230870,2,2308708
230900,13,2309003
230910,2,2309102
230920,2,2309201
230930,NA,2309300
230940,25,2309409
230945,15,2309458
230950,25,2309508
230960,5,2309607
230980,3,2309805
230990,5,2309904
231000,30,2310001
231010,1,2310100
231030,10,2310308
231040,10,2310407
231050,18,2310506
231060,5,2310605
231070,29,2310704
231080,0,2310803
231090,3,2310902
231095,30,2310951
231100,13,2311009
231110,4,2311108
231120,1,2311207
231123,0,2311231
231126,1,2311264
231130,8,2311306
231135,12,2311355
231140,194,2311405
231150,17,2311504
231160,61,2311603
231170,59,2311702
231180,11,2311801
231190,2,2311900
231195,0,2311959
231200,0,2312007
231210,4,2312106
231220,12,2312205
231230,13,2312304
231250,NA,2312502
231270,10,2312700
231290,19,2312908
231300,20,2313005
231310,19,2313104
